,train_loss,train_recon_loss,train_kld_loss,valid_loss,valid_recon_loss,valid_kld_loss
0,324576.81828294834,26167.079004829277,298409.738485679,14998.081215724282,14989.422036036782,8.658988952636719
1,15011.228398954396,15002.866446493974,8.36194816924674,14987.579834353726,14978.481200063823,9.09879207611084
2,14986.298587399575,14977.612325363303,8.686261145694495,14974.188142669724,14967.097322357224,7.09126615524292
3,14978.118024131616,14970.085002658318,8.033016291728318,14964.06885725936,14957.45459944686,6.61461877822876
4,14965.891584578805,14957.602704468927,8.28888468426883,14967.019229860061,14958.502628297561,8.516794204711914
5,14965.006971437855,14957.166044792652,7.8409274878258515,14970.647967686271,14963.138202061271,7.510068893432617
6,14956.481165819943,14948.88657180411,7.594593465260612,14952.046496785173,14943.747668660173,8.298690795898438
7,14958.088113628308,14949.844668227197,8.24345379777126,14941.4517938611,14935.224256276002,6.227530479431152
8,14964.499289269257,14956.180707629372,8.318588865456825,14944.387646558245,14933.974560620745,10.41317081451416
9,14953.837237860349,14945.63783339733,8.199408627097233,14938.524035847673,14930.825795137576,7.697925567626953
