,train_loss,train_recon_loss,train_kld_loss,valid_loss,valid_recon_loss,valid_kld_loss
0,835637.053200319,9410.478058726665,826226.551335815,5562.065948255484,5558.695342786734,3.370793342590332
1,5565.590250989485,5563.258071501358,2.332176730357857,5552.910379337652,5550.939676212652,1.9705528020858765
2,5556.954116330931,5554.9471375088615,2.006982409255491,5564.509015843655,5562.962140843655,1.5470688343048096
3,5551.581091793183,5549.588652306829,1.9924399907286992,5557.084400263569,5554.411060419819,2.673330545425415
4,5549.700733437205,5547.81375993177,1.8869677249335162,5541.974610852401,5540.241700696151,1.7330952882766724
5,5546.139238428935,5544.554521355151,1.5847162029017572,5542.944906214542,5541.405843714542,1.5391273498535156
6,5543.069567986472,5541.464802213788,1.604769091479945,5540.757737891216,5539.488694922466,1.269271731376648
7,5546.508515108105,5544.797887929762,1.7106246693147829,5537.297249521322,5534.991585458822,2.305783271789551
8,5542.813257805115,5541.030035850366,1.783223388145461,5535.595097390317,5534.036991921567,1.5582928657531738
9,5544.199208781309,5542.587723187913,1.6114916461176594,5539.211473796804,5536.993700359304,2.217705488204956
